,date (X),$/Mbyte (Y),Adj. $/Mbyte (Y)
0,1944.0,36749355834.1392,56227966969.94184
1,1945.0,24125251733.294777,36912588719.2032
2,1946.0,15837767982.1575,24232411011.43545
3,1947.0,10397192842.987396,15908116006.009571
4,1948.0,6825558950.986093,10443374979.947496
5,1949.0,4480849369.338069,6855876643.757971
6,1950.0,2941592214.627195,4500752356.84659
7,1951.0,1931099227.8306818,2954658146.613664
8,1952.0,1267729840.0454433,1939676763.1683447
9,1953.0,832240479.5051482,1273360828.5234897
10,1954.0,546350013.897324,835937116.1251153
11,1955.0,358668371.74646175,548776785.3875706
12,1956.0,235458950.52443194,360261500.9802673
13,1957.0,411041792.0,628910188.4711463
14,1959.0,67947725.0,103962704.93083005
15,1960.0,5242880.0,8021813.628458499
16,1965.0,2642412.0,4042994.803162056
17,1970.0,734003.0,1123053.6019762848
18,1973.0,399360.0,611036.5849802373
19,1974.0,314573.0,481309.1237154151
20,1975.0,421888.0,645505.3154150199
21,1975.08,180224.0,275749.8434782609
22,1975.25,67584.0,103406.19130434783
23,1975.75,49920.0,76379.57312252966
24,1976.0,40704.0,62278.72885375495
25,1976.17,48960.0,74910.73517786562
26,1976.42,23040.0,35252.11067193677
27,1976.58,32000.0,48961.26482213439
28,1977.08,36800.0,56305.45454545456
29,1978.17,28000.0,42841.1067193676
30,1978.25,29440.0,45044.36363636364
31,1978.33,19200.0,29376.75889328064
32,1978.5,24000.0,36720.9486166008
33,1978.58,16000.0,24480.632411067196
34,1978.75,15200.0,23256.600790513836
35,1979.0,10528.0,16108.256126482214
36,1979.75,6704.0,10257.384980237155
37,1980.0,6480.0,9914.656126482214
38,1981.0,8800.0,13464.34782608696
39,1981.58,4479.0,6853.047035573123
40,1982.0,3520.0,5385.739130434784
41,1982.17,4464.0,6830.096442687748
42,1982.67,1980.0,3029.478260869566
43,1983.0,2396.0,3665.974703557313
44,1983.67,1980.0,3029.478260869566
45,1984.0,1379.0,2109.924505928854
46,1984.58,1331.0,2036.4826086956525
47,1985.0,880.0,1346.434782608696
48,1985.33,720.0,1101.628458498024
49,1985.42,550.0,841.521739130435
50,1985.5,420.0,642.6166007905139
51,1985.58,350.0,535.513833992095
52,1985.67,300.0,459.01185770751
53,1985.83,300.0,459.01185770751
54,1985.92,300.0,459.01185770751
55,1986.0,300.0,459.01185770751
56,1986.08,300.0,459.01185770751
57,1986.17,300.0,459.01185770751
58,1986.25,300.0,459.01185770751
59,1986.33,190.0,290.70750988142294
60,1986.42,190.0,290.70750988142294
61,1986.5,190.0,290.70750988142294
62,1986.58,190.0,290.70750988142294
63,1986.67,190.0,290.70750988142294
64,1986.75,190.0,290.70750988142294
65,1986.92,190.0,290.70750988142294
66,1987.0,176.0,269.28695652173917
67,1987.08,176.0,269.28695652173917
68,1987.17,157.0,240.21620553359685
69,1987.25,154.0,235.62608695652176
70,1987.33,154.0,235.62608695652176
71,1987.42,154.0,235.62608695652176
72,1987.5,154.0,235.62608695652176
73,1987.58,154.0,235.62608695652176
74,1987.67,163.0,249.39644268774708
75,1987.75,133.0,203.49525691699606
76,1987.83,163.0,249.39644268774708
77,1987.92,163.0,249.39644268774708
78,1988.0,163.0,249.39644268774708
79,1988.08,182.0,278.4671936758894
80,1988.17,199.0,304.47786561264826
81,1988.33,199.0,304.47786561264826
82,1988.42,199.0,304.47786561264826
83,1988.5,505.0,772.6699604743084
84,1988.58,505.0,772.6699604743084
85,1988.67,505.0,772.6699604743084
86,1988.75,505.0,772.6699604743084
87,1988.83,505.0,772.6699604743084
88,1988.92,505.0,772.6699604743084
89,1989.0,505.0,772.6699604743084
90,1989.08,505.0,772.6699604743084
91,1989.17,505.0,772.6699604743084
92,1989.25,505.0,772.6699604743084
93,1989.42,344.0,526.3335968379447
94,1989.5,197.0,301.41778656126485
95,1989.58,188.0,287.6474308300396
96,1989.67,188.0,287.6474308300396
97,1989.75,128.0,195.84505928853758
98,1989.83,117.0,179.01462450592888
99,1989.92,113.0,172.89446640316208
100,1990.0,106.0,162.18418972332017
101,1990.17,98.0,149.94387351778659
102,1990.33,98.0,149.94387351778659
103,1990.42,90.0,137.703557312253
104,1990.5,83.0,126.99328063241109
105,1990.58,81.0,123.93320158102769
106,1990.67,72.0,110.1628458498024
107,1990.75,59.0,90.27233201581029
108,1990.83,51.0,78.03201581027669
109,1990.92,46.0,70.38181818181819
110,1991.0,45.0,68.8517786561265
111,1991.08,45.0,68.8517786561265
112,1991.17,45.0,68.8517786561265
113,1991.25,45.0,68.8517786561265
114,1991.33,45.0,68.8517786561265
115,1991.42,44.0,67.32173913043479
116,1991.5,44.0,67.32173913043479
117,1991.58,41.0,62.73162055335969
118,1991.67,46.0,70.38181818181819
119,1991.75,45.0,68.8517786561265
120,1991.83,40.0,61.20158102766799
121,1991.92,40.0,61.20158102766799
122,1992.0,36.0,55.0814229249012
123,1992.08,36.0,55.0814229249012
124,1992.17,36.0,55.0814229249012
125,1992.25,35.0,53.55138339920949
126,1992.33,30.0,45.90118577075099
127,1992.42,33.0,50.49130434782609
128,1992.5,34.0,52.02134387351779
129,1992.58,31.0,47.4312252964427
130,1992.67,27.5,42.07608695652175
131,1992.75,26.3,40.24003952569171
132,1992.83,26.3,40.24003952569171
133,1992.92,26.3,40.24003952569171
134,1993.0,33.1,50.64430830039527
135,1993.08,27.5,42.07608695652175
136,1993.17,27.5,42.07608695652175
137,1993.25,27.5,42.07608695652175
138,1993.33,27.5,42.07608695652175
139,1993.42,30.0,45.90118577075099
140,1993.5,30.0,45.90118577075099
141,1993.58,30.0,45.90118577075099
142,1993.67,30.0,45.90118577075099
143,1993.75,36.0,55.0814229249012
144,1993.83,39.8,60.89557312252965
145,1993.92,35.8,54.77541501976285
146,1994.0,35.8,54.77541501976285
147,1994.08,35.8,54.77541501976285
148,1994.17,36.0,55.0814229249012
